epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2274,2.30318,4.29787,1.22242,0.79361,0.04234,0.06619,0.04021,2.20712,3.84296,1.07953,0.000173363,0.000173363,0.000173363
2,83.8785,2.18712,2.85466,1.08826,0.58261,0.16723,0.14588,0.08162,2.02889,2.09687,1.06794,0.000345245,0.000345245,0.000345245
3,123.616,2.07382,2.05148,1.065,0.63451,0.21542,0.18826,0.09798,1.97014,1.90271,1.06465,0.000513654,0.000513654,0.000513654
4,163.595,1.96323,1.75702,1.04954,0.71034,0.21085,0.20931,0.11276,1.88065,1.67703,1.04245,0.000510378,0.000510378,0.000510378
5,205.042,1.89878,1.6093,1.03798,0.67702,0.22452,0.22502,0.12823,1.83301,1.67937,1.01432,0.00050517,0.00050517,0.00050517
6,247.607,1.90894,1.56417,1.02805,0.64952,0.23417,0.23495,0.13138,1.85386,1.52003,1.01503,0.000499963,0.000499963,0.000499963
7,288.07,1.82159,1.47262,1.02217,0.60502,0.23953,0.23914,0.13432,1.82251,1.44307,1.01026,0.000494756,0.000494756,0.000494756
8,329.573,1.77823,1.42844,1.01687,0.63978,0.23367,0.24463,0.13989,1.83063,1.579,1.0076,0.000489548,0.000489548,0.000489548
9,369.423,1.77468,1.3824,1.00643,0.62457,0.25293,0.25632,0.14835,1.81911,1.45687,0.99763,0.000484341,0.000484341,0.000484341
10,408.728,1.71211,1.33622,0.99601,0.67572,0.2678,0.27584,0.15839,1.76526,1.35479,0.99526,0.000479133,0.000479133,0.000479133
11,449.231,1.71595,1.29171,0.99506,0.68071,0.27519,0.28308,0.16391,1.73446,1.35049,0.9882,0.000473926,0.000473926,0.000473926
12,489.195,1.70271,1.28133,0.9928,0.68942,0.28422,0.30237,0.17541,1.69171,1.26055,0.98254,0.000468719,0.000468719,0.000468719
13,529.175,1.68194,1.26766,0.98974,0.64581,0.29029,0.31029,0.1807,1.65103,1.2628,0.98506,0.000463511,0.000463511,0.000463511
14,569.37,1.68538,1.21518,0.98264,0.63037,0.31696,0.31784,0.18293,1.65551,1.23342,0.9803,0.000458304,0.000458304,0.000458304
15,608.684,1.66648,1.2125,0.98544,0.66445,0.3053,0.31363,0.17614,1.72182,1.27395,0.98256,0.000453096,0.000453096,0.000453096
