epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1498,1.86839,2.1023,1.14289,0.48752,0.26245,0.23457,0.13463,1.68182,1.39775,1.05576,0.000173363,0.000173363,0.000173363
2,86.0708,1.70087,1.25441,1.06556,0.56565,0.27744,0.28894,0.1638,1.65495,1.46678,1.06753,0.000345245,0.000345245,0.000345245
3,126.236,1.659,1.22355,1.04818,0.57186,0.27713,0.28595,0.15946,1.63562,1.46517,1.05304,0.000513654,0.000513654,0.000513654
4,167.112,1.60393,1.15763,1.03089,0.49036,0.29126,0.28109,0.15633,1.64793,1.77195,1.02785,0.000510378,0.000510378,0.000510378
5,207.303,1.57548,1.09684,1.02395,0.58428,0.32208,0.33135,0.19099,1.54016,1.2672,1.01175,0.00050517,0.00050517,0.00050517
6,249.598,1.61412,1.081,1.01896,0.67861,0.33863,0.35036,0.20621,1.53648,1.14054,0.99433,0.000499963,0.000499963,0.000499963
7,291.491,1.54243,1.02437,1.00844,0.67793,0.31032,0.35264,0.20507,1.50285,1.20502,0.98779,0.000494756,0.000494756,0.000494756
8,334.85,1.49911,1.00291,1.00329,0.6308,0.31701,0.33333,0.19312,1.56794,1.39776,1.00236,0.000489548,0.000489548,0.000489548
9,374.775,1.49065,0.98165,0.98931,0.60561,0.36054,0.38747,0.22811,1.4908,1.04554,0.97581,0.000484341,0.000484341,0.000484341
10,415.522,1.4542,0.94979,0.97876,0.67351,0.34472,0.37797,0.22309,1.54551,1.1784,0.98386,0.000479133,0.000479133,0.000479133
11,456.985,1.41511,0.9088,0.96997,0.58774,0.37592,0.39931,0.23634,1.42004,1.02737,0.97021,0.000473926,0.000473926,0.000473926
12,496.661,1.40554,0.89017,0.96779,0.66283,0.3763,0.40768,0.24107,1.45565,1.033,0.9639,0.000468719,0.000468719,0.000468719
13,538.984,1.39005,0.88735,0.96689,0.71739,0.38884,0.42824,0.25842,1.42806,1.00843,0.96243,0.000463511,0.000463511,0.000463511
14,579.959,1.39409,0.86496,0.95815,0.6501,0.39612,0.42917,0.25867,1.36426,0.95512,0.9525,0.000458304,0.000458304,0.000458304
