epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,624.957,1.69279,1.90532,1.12587,0.72404,0.20813,0.24066,0.13689,1.62007,2.00034,1.11634,0.0671864,0.00033145,0.00033145
2,1118.62,1.60087,1.37003,1.08954,0.53925,0.28763,0.29193,0.16976,1.52984,1.5916,1.08473,0.0341799,0.000658202,0.000658202
3,1514.69,1.56691,1.30752,1.09444,0.68602,0.29059,0.29928,0.16773,1.61486,1.60449,1.10319,0.00116668,0.000978354,0.000978354
4,1955.54,1.5422,1.22456,1.07421,0.66049,0.30195,0.33142,0.18965,1.48882,1.5327,1.07299,0.0009703,0.0009703,0.0009703
5,2639.2,1.47687,1.16768,1.05636,0.61873,0.33858,0.36364,0.21831,1.44104,1.30274,1.04855,0.0009604,0.0009604,0.0009604
6,3288.49,1.44092,1.09891,1.03435,0.6011,0.34578,0.35176,0.21655,1.43091,1.44507,1.03933,0.0009505,0.0009505,0.0009505
7,3691.34,1.39804,1.06804,1.03751,0.61024,0.36625,0.39261,0.23653,1.40861,1.14235,1.02817,0.0009406,0.0009406,0.0009406
8,4313.5,1.3894,1.02999,1.01809,0.60876,0.39985,0.41413,0.25177,1.35323,1.13114,1.01519,0.0009307,0.0009307,0.0009307
9,4914.81,1.36062,1.00146,1.0125,0.64763,0.40278,0.4228,0.26055,1.35908,1.09334,1.01502,0.0009208,0.0009208,0.0009208
10,5473.64,1.31939,0.98789,1.01414,0.71919,0.40083,0.43989,0.2646,1.36257,1.09998,1.01734,0.0009109,0.0009109,0.0009109
11,5873.93,1.35022,0.97311,1.013,0.61382,0.40789,0.4328,0.2651,1.31218,1.02812,1.00071,0.000901,0.000901,0.000901
12,6564.65,1.3078,0.94562,0.99733,0.71163,0.40467,0.43832,0.27216,1.28527,0.99721,1.00186,0.0008911,0.0008911,0.0008911
13,7102.85,1.3191,0.92786,1.00147,0.6968,0.40612,0.43158,0.25951,1.35296,1.04394,1.00823,0.0008812,0.0008812,0.0008812
14,7758.9,1.30033,0.89759,0.98827,0.66199,0.43086,0.46137,0.28471,1.30287,1.01806,0.9932,0.0008713,0.0008713,0.0008713
15,8401.02,1.27165,0.88462,0.98682,0.6624,0.43001,0.46698,0.29197,1.27295,0.97912,0.98797,0.0008614,0.0008614,0.0008614
16,8966.44,1.27471,0.90322,0.9797,0.6791,0.4562,0.48644,0.30497,1.26931,0.93182,0.98587,0.0008515,0.0008515,0.0008515
17,9562.68,1.26559,0.85762,0.97598,0.61775,0.47525,0.48689,0.30491,1.25161,0.89727,0.98421,0.0008416,0.0008416,0.0008416
