epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,561.016,1.6426,1.93158,1.35833,0.51647,0.31146,0.29506,0.16653,1.6732,2.03653,1.47124,0.0670269,0.000333061,0.000333061
2,1115.35,1.58153,1.66954,1.3672,0.67473,0.35179,0.36073,0.20672,1.59254,1.85956,1.43176,0.0340203,0.000659797,0.000659797
3,1661.29,1.52295,1.55221,1.33665,0.57084,0.40831,0.40522,0.23823,1.51412,1.72895,1.40364,0.00100714,0.000979933,0.000979933
4,2207.52,1.45267,1.40876,1.29313,0.64477,0.41769,0.43429,0.25542,1.44938,1.58536,1.3459,0.0009703,0.0009703,0.0009703
5,2752.62,1.4077,1.31114,1.25944,0.64189,0.42847,0.46265,0.27836,1.39565,1.49934,1.3081,0.0009604,0.0009604,0.0009604
6,3298.22,1.37728,1.27413,1.24609,0.57321,0.48709,0.49018,0.29466,1.38649,1.39634,1.30486,0.0009505,0.0009505,0.0009505
7,3837.65,1.34749,1.22883,1.22678,0.60105,0.50796,0.50945,0.31168,1.37646,1.29825,1.29035,0.0009406,0.0009406,0.0009406
8,4376.74,1.32044,1.1626,1.21674,0.62275,0.52706,0.52789,0.32532,1.35487,1.30744,1.27639,0.0009307,0.0009307,0.0009307
9,4915.7,1.30106,1.14776,1.20476,0.63436,0.52121,0.54615,0.33932,1.32191,1.23815,1.25763,0.0009208,0.0009208,0.0009208
10,5456.52,1.27966,1.10483,1.19609,0.60828,0.54325,0.54238,0.33204,1.30548,1.23177,1.25827,0.0009109,0.0009109,0.0009109
11,5994.53,1.27233,1.0876,1.19592,0.64067,0.5598,0.56385,0.34852,1.31181,1.20293,1.2473,0.000901,0.000901,0.000901
12,6534.5,1.26281,1.06727,1.18352,0.62147,0.56331,0.56389,0.34483,1.29792,1.20691,1.25223,0.0008911,0.0008911,0.0008911
13,7073.25,1.24557,1.03887,1.17636,0.65399,0.57447,0.58711,0.36494,1.30051,1.17061,1.24715,0.0008812,0.0008812,0.0008812
14,7613.07,1.23464,1.03467,1.17366,0.65527,0.56935,0.59792,0.37346,1.26757,1.11745,1.22291,0.0008713,0.0008713,0.0008713
15,8152.83,1.2239,0.99895,1.15982,0.64685,0.59993,0.61132,0.38224,1.25075,1.1303,1.2186,0.0008614,0.0008614,0.0008614
16,8691.67,1.21016,0.99744,1.15921,0.66236,0.5743,0.59393,0.37274,1.26489,1.15717,1.22554,0.0008515,0.0008515,0.0008515
17,9230,1.21179,0.98526,1.15548,0.63738,0.59444,0.59291,0.37333,1.25136,1.08067,1.22006,0.0008416,0.0008416,0.0008416
