epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,701.839,1.61497,1.92083,1.33876,0.57029,0.30832,0.32003,0.18197,1.663,2.4317,1.45449,0.06704,0.00033293,0.00033293
2,1397.97,1.55297,1.60157,1.33782,0.49338,0.36217,0.36935,0.22016,1.5684,1.95396,1.41218,0.0340334,0.000659667,0.000659667
3,2092.39,1.49168,1.49551,1.30662,0.71685,0.35089,0.39235,0.23504,1.53444,1.64265,1.39866,0.00102016,0.000979804,0.000979804
4,2783.18,1.42656,1.36845,1.27164,0.69884,0.38956,0.43377,0.26213,1.4453,1.5743,1.34713,0.0009703,0.0009703,0.0009703
5,3486.93,1.38955,1.27919,1.25236,0.56055,0.43907,0.45108,0.27211,1.43426,1.469,1.32833,0.0009604,0.0009604,0.0009604
6,4172.37,1.36243,1.21735,1.23115,0.5285,0.46227,0.46647,0.28915,1.40557,1.5059,1.31435,0.0009505,0.0009505,0.0009505
7,4856.23,1.31592,1.17556,1.21487,0.59787,0.48401,0.50044,0.31023,1.35972,1.28215,1.28604,0.0009406,0.0009406,0.0009406
8,5540.92,1.31125,1.14427,1.21029,0.6484,0.51528,0.52026,0.3212,1.3407,1.23889,1.26975,0.0009307,0.0009307,0.0009307
9,6225.17,1.28335,1.10381,1.18715,0.63139,0.52676,0.53781,0.3332,1.33468,1.24743,1.26866,0.0009208,0.0009208,0.0009208
10,6907.67,1.2597,1.05969,1.17731,0.6391,0.54548,0.55446,0.34258,1.34192,1.22553,1.26198,0.0009109,0.0009109,0.0009109
11,7591.82,1.23532,1.02998,1.1685,0.63393,0.55271,0.56956,0.35559,1.30652,1.13226,1.24886,0.000901,0.000901,0.000901
12,8276.48,1.24467,1.01909,1.16417,0.63181,0.5658,0.57837,0.35669,1.30428,1.18775,1.2443,0.0008911,0.0008911,0.0008911
13,8959.73,1.21609,1.00132,1.1531,0.68988,0.57776,0.5927,0.37273,1.28948,1.1256,1.22795,0.0008812,0.0008812,0.0008812
14,9643.07,1.21337,0.97928,1.15053,0.67213,0.55984,0.5842,0.36483,1.28533,1.13962,1.22798,0.0008713,0.0008713,0.0008713
15,10326.7,1.20912,0.97622,1.15546,0.64721,0.57856,0.58834,0.37596,1.26177,1.19101,1.218,0.0008614,0.0008614,0.0008614
16,11013.8,1.17985,0.94277,1.13153,0.68022,0.59103,0.60276,0.37829,1.26148,1.05167,1.21788,0.0008515,0.0008515,0.0008515
