epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.809,1.71437,1.86266,1.16042,0.53135,0.23742,0.24962,0.14167,1.6937,1.84771,1.14075,0.0671864,0.00033145,0.00033145
2,595.514,1.57934,1.38115,1.09716,0.55981,0.27904,0.29157,0.17303,1.545,1.61562,1.08912,0.0341799,0.000658202,0.000658202
3,910.103,1.53814,1.30123,1.08588,0.6519,0.30246,0.31765,0.18433,1.49797,1.42015,1.07664,0.00116668,0.000978354,0.000978354
4,1213.95,1.5058,1.22894,1.07311,0.64811,0.33971,0.35409,0.21048,1.44174,1.29562,1.05526,0.0009703,0.0009703,0.0009703
5,1419.84,1.45344,1.14476,1.05373,0.67905,0.34339,0.36893,0.21588,1.4323,1.26613,1.0482,0.0009604,0.0009604,0.0009604
6,1789.17,1.42299,1.08579,1.03148,0.65614,0.32481,0.34896,0.20937,1.43217,1.41019,1.04016,0.0009505,0.0009505,0.0009505
7,2025.5,1.3912,1.07247,1.03647,0.64211,0.38074,0.39959,0.24259,1.3876,1.13881,1.02704,0.0009406,0.0009406,0.0009406
8,2310.93,1.38086,1.02437,1.01667,0.61067,0.40388,0.42226,0.26503,1.33978,1.13319,1.01673,0.0009307,0.0009307,0.0009307
9,2601.83,1.35962,1.00581,1.01072,0.64345,0.3919,0.42216,0.26315,1.33027,1.06159,1.00194,0.0009208,0.0009208,0.0009208
10,2901.3,1.31815,0.98941,1.01473,0.6614,0.4153,0.44409,0.27166,1.34814,1.03485,1.01634,0.0009109,0.0009109,0.0009109
11,3140.97,1.35596,0.97366,1.01269,0.62743,0.41855,0.44309,0.27172,1.3269,1.05305,0.99913,0.000901,0.000901,0.000901
12,3622.68,1.30841,0.93383,0.99224,0.71367,0.40533,0.43507,0.26612,1.34189,1.0181,1.00213,0.0008911,0.0008911,0.0008911
13,3999.64,1.30576,0.91734,0.99392,0.7312,0.404,0.44793,0.27206,1.33554,1.05329,1.00465,0.0008812,0.0008812,0.0008812
14,4426.1,1.30296,0.89825,0.98788,0.68486,0.39486,0.4411,0.28056,1.33761,1.07076,0.9981,0.0008713,0.0008713,0.0008713
15,4631.27,1.27756,0.88095,0.98731,0.65393,0.42942,0.47194,0.29778,1.29485,0.93468,0.99172,0.0008614,0.0008614,0.0008614
16,4975.36,1.28394,0.9102,0.98022,0.61421,0.4443,0.46327,0.29059,1.27303,0.93998,0.98395,0.0008515,0.0008515,0.0008515
17,5364.32,1.2711,0.88223,0.97953,0.65957,0.41385,0.45105,0.2842,1.29695,1.05148,0.99041,0.0008416,0.0008416,0.0008416
