epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.949,1.65657,1.79015,1.13476,0.58744,0.23993,0.24187,0.13777,1.5803,1.84353,1.11068,0.0671864,0.00033145,0.00033145
2,623.5,1.55315,1.32386,1.08946,0.63697,0.29938,0.32311,0.18715,1.54306,1.45631,1.10014,0.0341799,0.000658202,0.000658202
3,957.929,1.52294,1.2468,1.08443,0.63478,0.32862,0.33603,0.19352,1.51474,1.41174,1.07192,0.00116668,0.000978354,0.000978354
4,1278.94,1.51392,1.18666,1.07359,0.61824,0.34805,0.36492,0.21717,1.42139,1.24451,1.05352,0.0009703,0.0009703,0.0009703
5,1499.51,1.43205,1.11289,1.05105,0.62098,0.36446,0.38019,0.22755,1.391,1.1344,1.04475,0.0009604,0.0009604,0.0009604
6,1885.38,1.40348,1.0637,1.03074,0.69426,0.37081,0.39105,0.24076,1.36517,1.19111,1.02766,0.0009505,0.0009505,0.0009505
7,2137.78,1.36203,1.02516,1.03192,0.56091,0.40341,0.41198,0.25394,1.33668,1.06379,1.01923,0.0009406,0.0009406,0.0009406
8,2415.02,1.3442,0.97781,1.01058,0.58776,0.40619,0.42303,0.26353,1.33546,1.0933,1.02709,0.0009307,0.0009307,0.0009307
9,2722.18,1.3329,0.9435,1.01105,0.66751,0.40333,0.43285,0.26881,1.28867,0.98698,0.99894,0.0009208,0.0009208,0.0009208
10,3110.46,1.28968,0.94095,1.01418,0.70593,0.42818,0.45828,0.28597,1.28724,0.98968,1.00121,0.0009109,0.0009109,0.0009109
11,3366.65,1.32503,0.9262,1.00879,0.6285,0.42747,0.45366,0.28834,1.28325,1.00373,0.99792,0.000901,0.000901,0.000901
12,3868.76,1.28072,0.89125,0.99141,0.63663,0.41921,0.45348,0.28513,1.29555,0.93935,0.99961,0.0008911,0.0008911,0.0008911
13,4243.27,1.27251,0.87206,0.99199,0.71336,0.42206,0.46223,0.28831,1.29304,0.95929,0.99644,0.0008812,0.0008812,0.0008812
14,4692.72,1.25087,0.84488,0.9813,0.72042,0.42608,0.47817,0.30708,1.27921,0.98395,0.99523,0.0008713,0.0008713,0.0008713
15,4973.65,1.24611,0.8451,0.98437,0.69491,0.4519,0.49047,0.31183,1.25291,0.8865,0.98953,0.0008614,0.0008614,0.0008614
